Sample_name,Row,Col,Population,Sample_id
YBS01,107,14,DiversityPanel,"YBS01 107,14"
YBS02,107,15,DiversityPanel,"YBS02 107,15"
YBS05,107,16,DiversityPanel,"YBS05 107,16"
YBS06,107,17,DiversityPanel,"YBS06 107,17"
YBS07,107,18,DiversityPanel,"YBS07 107,18"
YBS08,107,19,DiversityPanel,"YBS08 107,19"
YellowBell,107,13,DiversityPanel,"YellowBell 107,13"
MG02,108,16,DiversityPanel,"MG02 108,16"
MG03,108,17,DiversityPanel,"MG03 108,17"
MG04,108,18,DiversityPanel,"MG04 108,18"
MG07,108,19,DiversityPanel,"MG07 108,19"
Stevens07,108,3,DiversityPanel,"Stevens07 108,3"
YBS09,108,1,DiversityPanel,"YBS09 108,1"
YBS10,108,2,DiversityPanel,"YBS10 108,2"
YBS11,108,4,DiversityPanel,"YBS11 108,4"
YBS12,108,5,DiversityPanel,"YBS12 108,5"
YBS13,108,6,DiversityPanel,"YBS13 108,6"
YBS14,108,7,DiversityPanel,"YBS14 108,7"
YBS16,108,8,DiversityPanel,"YBS16 108,8"
YBS17,108,9,DiversityPanel,"YBS17 108,9"
YBS18,108,10,DiversityPanel,"YBS18 108,10"
YBS19,108,11,DiversityPanel,"YBS19 108,11"
YBS20,108,12,DiversityPanel,"YBS20 108,12"
YBS21,108,13,DiversityPanel,"YBS21 108,13"
YBS22,108,14,DiversityPanel,"YBS22 108,14"
YBS23,108,15,DiversityPanel,"YBS23 108,15"
CNJ1049,109,5,DiversityPanel,"CNJ1049 109,5"
DP14,109,15,DiversityPanel,"DP14 109,15"
DP17,109,16,DiversityPanel,"DP17 109,16"
MG09,109,1,DiversityPanel,"MG09 109,1"
MG12,109,2,DiversityPanel,"MG12 109,2"
MurphysG,109,4,DiversityPanel,"MurphysG 109,4"
MurphysGA,109,3,DiversityPanel,"MurphysGA 109,3"
QS01,109,6,DiversityPanel,"QS01 109,6"
QS02,109,7,DiversityPanel,"QS02 109,7"
QS03,109,8,DiversityPanel,"QS03 109,8"
QS04,109,10,DiversityPanel,"QS04 109,10"
QS05,109,11,DiversityPanel,"QS05 109,11"
QS06,109,12,DiversityPanel,"QS06 109,12"
QS07,109,13,DiversityPanel,"QS07 109,13"
QS08,109,14,DiversityPanel,"QS08 109,14"
Stevens04,109,9,DiversityPanel,"Stevens04 109,9"
Stevens05,109,19,DiversityPanel,"Stevens05 109,19"
WC12001,109,18,DiversityPanel,"WC12001 109,18"
WC16026,109,17,DiversityPanel,"WC16026 109,17"
Stevens09,110,11,DiversityPanel,"Stevens09 110,11"
Stevens15,110,12,DiversityPanel,"Stevens15 110,12"
WC12-114,110,15,DiversityPanel,"WC12-114 110,15"
WC12006,110,1,DiversityPanel,"WC12006 110,1"
WC12008,110,2,DiversityPanel,"WC12008 110,2"
WC12012,110,3,DiversityPanel,"WC12012 110,3"
WC12014,110,4,DiversityPanel,"WC12014 110,4"
WC12017,110,5,DiversityPanel,"WC12017 110,5"
WC12032,110,6,DiversityPanel,"WC12032 110,6"
WC12090,110,7,DiversityPanel,"WC12090 110,7"
WC12091,110,8,DiversityPanel,"WC12091 110,8"
WC12101,110,9,DiversityPanel,"WC12101 110,9"
WC12104,110,10,DiversityPanel,"WC12104 110,10"
WC12110,110,13,DiversityPanel,"WC12110 110,13"
WC12112,110,14,DiversityPanel,"WC12112 110,14"
WC12131,110,16,DiversityPanel,"WC12131 110,16"
WC12132,110,17,DiversityPanel,"WC12132 110,17"
WC12133,110,18,DiversityPanel,"WC12133 110,18"
WC12153,110,19,DiversityPanel,"WC12153 110,19"
WC121190,111,9,DiversityPanel,"WC121190 111,9"
WC12199,111,1,DiversityPanel,"WC12199 111,1"
WC12221,111,2,DiversityPanel,"WC12221 111,2"
WC12232,111,3,DiversityPanel,"WC12232 111,3"
WC12280,111,4,DiversityPanel,"WC12280 111,4"
WC12288,111,5,DiversityPanel,"WC12288 111,5"
WC12325,111,6,DiversityPanel,"WC12325 111,6"
WC12326,111,7,DiversityPanel,"WC12326 111,7"
WC12332,111,8,DiversityPanel,"WC12332 111,8"
WC16004,111,10,DiversityPanel,"WC16004 111,10"
WC16011,111,11,DiversityPanel,"WC16011 111,11"
WC16014,111,12,DiversityPanel,"WC16014 111,12"
WC16017,111,13,DiversityPanel,"WC16017 111,13"
WC16018,111,14,DiversityPanel,"WC16018 111,14"
WC16023,111,15,DiversityPanel,"WC16023 111,15"
WC16027,111,16,DiversityPanel,"WC16027 111,16"
WC16029,111,17,DiversityPanel,"WC16029 111,17"
WC16034,111,18,DiversityPanel,"WC16034 111,18"
WC16036,111,19,DiversityPanel,"WC16036 111,19"
Stevens03,112,10,DiversityPanel,"Stevens03 112,10"
WC16037,112,1,DiversityPanel,"WC16037 112,1"
WC16040,112,2,DiversityPanel,"WC16040 112,2"
WC16041,112,3,DiversityPanel,"WC16041 112,3"
WC16042,112,4,DiversityPanel,"WC16042 112,4"
WC16043,112,5,DiversityPanel,"WC16043 112,5"
WC16049,112,6,DiversityPanel,"WC16049 112,6"
WC16051,112,7,DiversityPanel,"WC16051 112,7"
WC16054,112,8,DiversityPanel,"WC16054 112,8"
WC16056,112,9,DiversityPanel,"WC16056 112,9"
WC16058,112,11,DiversityPanel,"WC16058 112,11"
WC16059,112,12,DiversityPanel,"WC16059 112,12"
WC16060,112,13,DiversityPanel,"WC16060 112,13"
WC16061,112,14,DiversityPanel,"WC16061 112,14"
WC16062,112,15,DiversityPanel,"WC16062 112,15"
WC16063,112,16,DiversityPanel,"WC16063 112,16"
WC16066,112,17,DiversityPanel,"WC16066 112,17"
WC16067,112,18,DiversityPanel,"WC16067 112,18"
WC16068,112,19,DiversityPanel,"WC16068 112,19"
A41SX3,113,10,DiversityPanel,"A41SX3 113,10"
A41SX8,113,11,DiversityPanel,"A41SX8 113,11"
BL03,113,13,DiversityPanel,"BL03 113,13"
BL04,113,15,DiversityPanel,"BL04 113,15"
BL05,113,16,DiversityPanel,"BL05 113,16"
BL09,113,17,DiversityPanel,"BL09 113,17"
BL10,113,18,DiversityPanel,"BL10 113,18"
BL14,113,19,DiversityPanel,"BL14 113,19"
D8S,113,12,DiversityPanel,"D8S 113,12"
Stevens11,113,5,DiversityPanel,"Stevens11 113,5"
Stevens13,113,14,DiversityPanel,"Stevens13 113,14"
WC16070,113,1,DiversityPanel,"WC16070 113,1"
WC16071,113,2,DiversityPanel,"WC16071 113,2"
WC16072,113,3,DiversityPanel,"WC16072 113,3"
WC16073,113,4,DiversityPanel,"WC16073 113,4"
WC17001,113,6,DiversityPanel,"WC17001 113,6"
WC17002,113,7,DiversityPanel,"WC17002 113,7"
WC17003,113,8,DiversityPanel,"WC17003 113,8"
WC17004,113,9,DiversityPanel,"WC17004 113,9"
BL18,114,1,DiversityPanel,"BL18 114,1"
BL19,114,2,DiversityPanel,"BL19 114,2"
BLM01,114,3,DiversityPanel,"BLM01 114,3"
Chip01,114,4,DiversityPanel,"Chip01 114,4"
Chip03,114,5,DiversityPanel,"Chip03 114,5"
Chip05,114,6,DiversityPanel,"Chip05 114,6"
Chip07,114,7,DiversityPanel,"Chip07 114,7"
Chip08,114,8,DiversityPanel,"Chip08 114,8"
Chip10,114,9,DiversityPanel,"Chip10 114,9"
Chip17,114,10,DiversityPanel,"Chip17 114,10"
FRLK12,114,11,DiversityPanel,"FRLK12 114,11"
GYPL17,114,12,DiversityPanel,"GYPL17 114,12"
GYPL18,114,13,DiversityPanel,"GYPL18 114,13"
GYPL19,114,14,DiversityPanel,"GYPL19 114,14"
GYPL28,114,15,DiversityPanel,"GYPL28 114,15"
GYPL31,114,16,DiversityPanel,"GYPL31 114,16"
GYPL32,114,17,DiversityPanel,"GYPL32 114,17"
HAWL05,114,18,DiversityPanel,"HAWL05 114,18"
HW05,114,19,DiversityPanel,"HW05 114,19"
HW12,115,1,DiversityPanel,"HW12 115,1"
KLB17,115,2,DiversityPanel,"KLB17 115,2"
LL07,115,3,DiversityPanel,"LL07 115,3"
LL08,115,5,DiversityPanel,"LL08 115,5"
LL12,115,6,DiversityPanel,"LL12 115,6"
LL13,115,7,DiversityPanel,"LL13 115,7"
LL14,115,8,DiversityPanel,"LL14 115,8"
LL15,115,9,DiversityPanel,"LL15 115,9"
LOLM01,115,11,DiversityPanel,"LOLM01 115,11"
LOLM03,115,12,DiversityPanel,"LOLM03 115,12"
LOLM07,115,13,DiversityPanel,"LOLM07 115,13"
LOLM11,115,14,DiversityPanel,"LOLM11 115,14"
LOLM12,115,15,DiversityPanel,"LOLM12 115,15"
LRL01,115,16,DiversityPanel,"LRL01 115,16"
LRL02,115,17,DiversityPanel,"LRL02 115,17"
LRL03,115,18,DiversityPanel,"LRL03 115,18"
LRL04,115,19,DiversityPanel,"LRL04 115,19"
Stevens02,115,10,DiversityPanel,"Stevens02 115,10"
Stevens12,115,4,DiversityPanel,"Stevens12 115,4"
LorrainWU,116,15,DiversityPanel,"LorrainWU 116,15"
LRL05,116,1,DiversityPanel,"LRL05 116,1"
LRL10,116,2,DiversityPanel,"LRL10 116,2"
LRL11,116,3,DiversityPanel,"LRL11 116,3"
LRL15,116,4,DiversityPanel,"LRL15 116,4"
LRL18,116,5,DiversityPanel,"LRL18 116,5"
PMW02,116,6,DiversityPanel,"PMW02 116,6"
PMW16,116,7,DiversityPanel,"PMW16 116,7"
PMW20,116,8,DiversityPanel,"PMW20 116,8"
SEB15,116,9,DiversityPanel,"SEB15 116,9"
SHPL13,116,10,DiversityPanel,"SHPL13 116,10"
Stevens10,116,17,DiversityPanel,"Stevens10 116,17"
Stevens14,116,12,DiversityPanel,"Stevens14 116,12"
WABL04,116,11,DiversityPanel,"WABL04 116,11"
WABL06,116,13,DiversityPanel,"WABL06 116,13"
WABL11,116,14,DiversityPanel,"WABL11 116,14"
WC170071,116,16,DiversityPanel,"WC170071 116,16"
WC170077,116,18,DiversityPanel,"WC170077 116,18"
WC170081,116,19,DiversityPanel,"WC170081 116,19"
WC170131,117,1,DiversityPanel,"WC170131 117,1"
WC170135,117,2,DiversityPanel,"WC170135 117,2"
WC170141,117,3,DiversityPanel,"WC170141 117,3"
WC170203,117,4,DiversityPanel,"WC170203 117,4"
WC17022,117,5,DiversityPanel,"WC17022 117,5"
WC170238,117,6,DiversityPanel,"WC170238 117,6"
WC170241,117,7,DiversityPanel,"WC170241 117,7"
WC170251,117,8,DiversityPanel,"WC170251 117,8"
WC170252,117,9,DiversityPanel,"WC170252 117,9"
WC170263,117,10,DiversityPanel,"WC170263 117,10"
WC170266,117,11,DiversityPanel,"WC170266 117,11"
WC170271,117,12,DiversityPanel,"WC170271 117,12"
WC170272,117,13,DiversityPanel,"WC170272 117,13"
WC170273,117,14,DiversityPanel,"WC170273 117,14"
WC170274,117,15,DiversityPanel,"WC170274 117,15"
WC170275,117,16,DiversityPanel,"WC170275 117,16"
WC170276,117,17,DiversityPanel,"WC170276 117,17"
WC170277,117,18,DiversityPanel,"WC170277 117,18"
WC170361,117,19,DiversityPanel,"WC170361 117,19"
Stevens01,118,6,DiversityPanel,"Stevens01 118,6"
WC170367,118,1,DiversityPanel,"WC170367 118,1"
WC170371,118,2,DiversityPanel,"WC170371 118,2"
WC170381,118,3,DiversityPanel,"WC170381 118,3"
WC170382,118,4,DiversityPanel,"WC170382 118,4"
WC170391,118,5,DiversityPanel,"WC170391 118,5"
WC170411,118,7,DiversityPanel,"WC170411 118,7"
WC170421,118,8,DiversityPanel,"WC170421 118,8"
WC170431,118,9,DiversityPanel,"WC170431 118,9"
WC170438,118,10,DiversityPanel,"WC170438 118,10"
WC170461,118,11,DiversityPanel,"WC170461 118,11"
WC170465,118,12,DiversityPanel,"WC170465 118,12"
WC170471,118,13,DiversityPanel,"WC170471 118,13"
WC170473,118,14,DiversityPanel,"WC170473 118,14"
WC170477,118,15,DiversityPanel,"WC170477 118,15"
WC170503,118,16,DiversityPanel,"WC170503 118,16"
WC170521,118,17,DiversityPanel,"WC170521 118,17"
WC170523,118,18,DiversityPanel,"WC170523 118,18"
WC170533,118,19,DiversityPanel,"WC170533 118,19"
Stevens16,119,12,DiversityPanel,"Stevens16 119,12"
WC170534,119,1,DiversityPanel,"WC170534 119,1"
WC170572,119,2,DiversityPanel,"WC170572 119,2"
WC170621,119,3,DiversityPanel,"WC170621 119,3"
WC17063,119,4,DiversityPanel,"WC17063 119,4"
WC17064,119,5,DiversityPanel,"WC17064 119,5"
WC170651,119,6,DiversityPanel,"WC170651 119,6"
WC170652,119,7,DiversityPanel,"WC170652 119,7"
WC170653,119,8,DiversityPanel,"WC170653 119,8"
WC170701,119,9,DiversityPanel,"WC170701 119,9"
WC170707,119,10,DiversityPanel,"WC170707 119,10"
WC170721,119,11,DiversityPanel,"WC170721 119,11"
WC170743,119,13,DiversityPanel,"WC170743 119,13"
WC170745,119,14,DiversityPanel,"WC170745 119,14"
WC170794,119,15,DiversityPanel,"WC170794 119,15"
WC170811,119,16,DiversityPanel,"WC170811 119,16"
WC170861,119,17,DiversityPanel,"WC170861 119,17"
WC170906,119,18,DiversityPanel,"WC170906 119,18"
WC170992,119,19,DiversityPanel,"WC170992 119,19"
Sweetie39,,,SweetiePanel,Sweetie39
Sweetie40,,,SweetiePanel,Sweetie40
